x1	x2	x3	y
1.9643	4.5957	3.0924	1
2.2753	3.8589	3.0849	1
2.9781	4.5651	3.3012	1
2.9324	3.5519	3.0056	1
3.5772	2.8565	3.2026	1
4.0151	3.1937	3.0495	1
3.3814	3.4291	3.2201	1
3.9113	4.1761	3.1912	1
2.7822	4.0431	3.1248	1
2.5518	4.6162	3.4212	1
3.3698	3.9101	3.3085	1
3.1048	3.0709	3.4736	1
1.9182	4.0534	3.3260	1
2.2638	4.3706	3.3221	1
2.6555	3.5008	3.1407	1
3.1855	4.2888	3.1661	1
3.6579	3.8692	3.2047	1
3.9113	3.4291	3.4977	1
3.6002	3.1221	3.1081	1
3.0357	3.3165	3.0532	1
1.5841	3.3575	-2.6204	0
2.0103	3.2039	-2.8196	0
1.9527	2.7843	-2.5209	0
2.2753	2.7127	-2.9035	0
2.3099	2.9584	-2.9342	0
2.8283	2.6309	-2.9151	0
3.0473	2.2931	-2.6115	0
2.4827	2.0373	-2.5236	0
2.5057	2.3853	-2.6248	0
1.8721	2.0577	-2.9870	0
2.0103	2.3546	-2.8141	0
1.2269	2.3239	-2.9862	0
1.8951	2.9174	-2.9658	0
1.5619	3.0709	-2.9291	0
1.5495	2.6923	-2.9105	0
1.6878	2.4057	-2.9927	0
1.4919	2.0271	-2.7290	0
0.9623	2.6828	-2.9511	0
1.1693	2.9276	-2.6345	0
0.8122	2.9992	-2.5233	0
0.9735	3.3881	-2.7214	0
1.2523	3.1937	-2.7695	0
1.3191	3.5109	-2.5601	0
2.2292	2.2015	-2.6536	0
2.4482	2.6411	-2.9356	0
2.7938	1.9656	-2.9189	0
2.0909	1.6177	-2.8725	0
2.5403	2.8867	-2.8219	0
0.9044	3.0198	-2.7063	0
0.7661	2.5899	-2.6329	0
0.0864	4.1045	-2.9022	0
4.6236	2.2114	0.1742	2
4.2382	1.6094	0.4112	2
5.2964	1.5612	0.0303	2
3.9732	1.2429	0.1625	2
4.4475	1.3257	0.3179	2
3.6365	2.1778	0.2174	2
5.2574	1.5792	0.2320	2
4.6737	1.8184	0.2834	2
3.7154	1.6521	0.4115	2
5.0482	1.8197	0.0822	2
3.9196	1.4526	0.0911	2
4.5886	1.0877	0.0431	2
5.0048	1.3946	0.4561	2
5.2928	2.1816	0.0127	2
3.7808	1.2195	0.1883	2
4.7483	0.7251	0.1389	2
4.2916	1.0857	0.3883	2
4.7126	0.8641	0.2109	2
4.1005	1.0058	0.3911	2
3.9601	1.4057	0.4019	2
